Catálogo de cód                          
Fecha inicio deFecha fin de    Versión     Revisión  
   3/27/2017                     2.0     
                                         
c_CodigoPostal   c_Estado    c_Municipio c_Localidad 
     52295          MEX                  
     52296          MEX                  
     52297          MEX                  
     52298          MEX                  
     52299          MEX                  
     52300          MEX          090     
     52301          MEX                  
     52302          MEX                  
     52303          MEX          090     
     52304          MEX          090     
     52305          MEX          090     
     52306          MEX                  
     52307          MEX          090     
     52308          MEX                  
     52309          MEX                  
     52310          MEX          090     
     52311          MEX                  
     52312          MEX                  
     52313          MEX                  
     52314          MEX                  
     52315          MEX          090     
     52316          MEX          090     
     52317          MEX          090     
     52318          MEX                  
     52319          MEX                  
     52320          MEX          090     
     52321          MEX                  
     52322          MEX                  
     52323          MEX          090     
     52324          MEX                  
     52325          MEX                  
     52326          MEX                  
     52327          MEX                  
     52328          MEX                  
     52329          MEX                  
     52330          MEX          090     
     52331          MEX                  
     52332          MEX                  
     52333          MEX          090     
     52334          MEX          090     
     52335          MEX                  
     52336          MEX          090     
     52337          MEX          090     
     52338          MEX                  
     52339          MEX                  
     52340          MEX          090     
     52341          MEX                  
     52342          MEX                  
     52343          MEX          090     
     52344          MEX                  
     52345          MEX          090     
     52346          MEX          090     
     52347          MEX          090     
     52348          MEX                  
     52349          MEX                  
     52350          MEX          090     
     52351          MEX                  
     52352          MEX                  
     52353          MEX          090     
     52354          MEX          090     
     52355          MEX          090     
     52356          MEX          090     
     52357          MEX          090     
     52358          MEX                  
     52359          MEX                  
     52360          MEX          072     
     52361          MEX                  
     52362          MEX          072     
     52363          MEX          072     
     52364          MEX          072     
     52365          MEX          072     
     52366          MEX          072     
     52367          MEX          072     
     52368          MEX                  
     52369          MEX                  
     52370          MEX          049     
     52371          MEX                  
     52372          MEX                  
     52373          MEX                  
     52374          MEX          049     
     52375          MEX                  
     52376          MEX          049     
     52377          MEX                  
     52378          MEX                  
     52379          MEX                  
     52380          MEX          049     
     52381          MEX                  
     52382          MEX                  
     52383          MEX                  
     52384          MEX          049     
     52385          MEX                  
     52386          MEX                  
     52387          MEX          049     
     52388          MEX                  
     52389          MEX                  
     52390          MEX          049     
     52391          MEX                  
     52392          MEX                  
     52393          MEX                  
     52394          MEX                  
     52395          MEX                  
     52396          MEX                  
     52397          MEX                  
     52398          MEX                  
     52399          MEX                  
     52400          MEX          088     
     52401          MEX                  
     52402          MEX                  
     52403          MEX          088     
     52404          MEX                  
     52405          MEX                  
     52406          MEX                  
     52407          MEX                  
     52408          MEX                  
     52409          MEX                  
     52410          MEX          088     
     52411          MEX                  
     52412          MEX                  
     52413          MEX          088     
     52414          MEX          088     
     52415          MEX          088     
     52416          MEX          088     
     52417          MEX                  
     52418          MEX                  
     52419          MEX                  
     52420          MEX          088     
     52421          MEX                  
     52422          MEX                  
     52423          MEX          088     
     52424          MEX          088     
     52425          MEX          088     
     52426          MEX          088     
     52427          MEX          088     
     52428          MEX                  
     52429          MEX                  
     52430          MEX          088     
     52431          MEX                  
     52432          MEX                  
     52433          MEX          088     
     52434          MEX          088     
     52435          MEX          088     
     52436          MEX          088     
     52437          MEX          088     
     52438          MEX                  
     52439          MEX                  
     52440          MEX          052     
     52441          MEX                  
     52442          MEX                  
     52443          MEX          052     
     52444          MEX          052     
     52445          MEX                  
     52446          MEX                  
     52447          MEX                  
     52448          MEX                  
     52449          MEX                  
     52450          MEX                  
     52451          MEX                  
     52452          MEX                  
     52453          MEX                  
     52454          MEX                  
     52455          MEX                  
     52456          MEX                  
     52457          MEX                  
     52458          MEX                  
     52459          MEX                  
     52460          MEX          052     
     52461          MEX                  
     52462          MEX                  
     52463          MEX          052     
     52464          MEX          052     
     52465          MEX          052     
     52466          MEX          052     
     52467          MEX          052     
     52468          MEX                  
     52469          MEX                  
     52470          MEX          052     
     52471          MEX                  
     52472          MEX                  
     52473          MEX          052     
     52474          MEX                  
     52475          MEX                  
     52476          MEX          052     
     52477          MEX          052     
     52478          MEX                  
     52479          MEX                  
     52480          MEX          063     
     52481          MEX                  
     52482          MEX                  
     52483          MEX          063     
     52484          MEX          063     
     52485          MEX          063     
     52486          MEX          063     
     52487          MEX          063     
     52488          MEX                  
     52489          MEX                  
     52490          MEX          063     
     52491          MEX                  
     52492          MEX                  
     52493          MEX          063     
     52494          MEX          063     
     52495          MEX          063     
     52496          MEX          063     
     52497          MEX          063     
     52498          MEX                  
     52499          MEX                  
     52500          MEX          012     
     52501          MEX                  
     52502          MEX                  
     52503          MEX          012     
     52504          MEX          012     
     52505          MEX          012     
     52506          MEX          012     
     52507          MEX                  
     52508          MEX                  
     52509          MEX                  
     52510          MEX                  
     52511          MEX                  
     52512          MEX                  
     52513          MEX                  
     52514          MEX                  
     52515          MEX                  
     52516          MEX                  
     52517          MEX                  
     52518          MEX                  
     52519          MEX                  
     52520          MEX                  
     52521          MEX                  
     52522          MEX                  
     52523          MEX                  
     52524          MEX                  
     52525          MEX                  
     52526          MEX                  
     52527          MEX                  
     52528          MEX                  
     52529          MEX                  
     52530          MEX                  
     52531          MEX                  
     52532          MEX                  
     52533          MEX                  
     52534          MEX                  
     52535          MEX                  
     52536          MEX                  
     52537          MEX                  
     52538          MEX                  
     52539          MEX                  
     52540          MEX          006     
     52541          MEX                  
     52542          MEX          006     
     52543          MEX                  
     52544          MEX          006     
     52545          MEX                  
     52546          MEX                  
     52547          MEX                  
     52548          MEX                  
     52549          MEX                  
     52550          MEX                  
     52551          MEX                  
     52552          MEX                  
     52553          MEX                  
     52554          MEX                  
     52555          MEX                  
     52556          MEX                  
     52557          MEX                  
     52558          MEX                  
     52559          MEX                  
     52560          MEX                  
     52561          MEX                  
     52562          MEX                  
     52563          MEX                  
     52564          MEX                  
     52565          MEX                  
     52566          MEX                  
     52567          MEX                  
     52568          MEX                  
     52569          MEX                  
     52570          MEX          098     
     52571          MEX                  
     52572          MEX                  
     52573          MEX                  
     52574          MEX                  
     52575          MEX                  
     52576          MEX                  
     52577          MEX                  
     52578          MEX                  
     52579          MEX                  
     52580          MEX                  
     52581          MEX                  
     52582          MEX                  
     52583          MEX                  
     52584          MEX                  
